"All Websites","Todos sitios web"
"Display Prices In Emails","Mostrar precios en el correo electrónico"
"Display Prices In Product Lists","Mostrar precios en listas de artículos"
"Display Prices In Sales Modules","Mostrar precios en módulos de ventas"
"Display Prices On Product View Page","Mostrar precios en la página de vista preliminar del artículo"
"Enable FPT","Habilitar FPT"
"Excluding FPT","Excluido FPT"
"Excluding FPT, FPT description, final price","Excluir FPT, descripción FPT, precio final"
"Fixed Product Tax","Impuesto fijo del artículo"
"Fixed Product Taxes","Impuestos fijos del artículo"
"Include FPT In Subtotal","Includir impuestos en el subtotal"
"Including FPT and FPT description","Includir impuestos y descripción de los impuestos"
"Including FPT and FPT description [incl. FPT VAT]","Includir FPT and FPT description [incl. FPT IVA]"
"Including FPT only","Includir sólo FPT"
"Total Incl. Tax","Total con impuestos incluidos"
"Total incl. tax","Total incl. impuestos"
